Gender,agerange,AcademicStatus,socialMediaPlatforms,emergingtechnologies,HowdoyouaccessyoursocialmediaplatformsYoucanchoosemorethanone,Howlonghaveyoubeenusingsocialnetworkingsites,HowoftendoyouvisityourSocialNetworkaccounts,Onaveragehowmuchtimedoyouspenddailyonasocialnetworkingsite,Howmanyofyourclassmatesareyourcontactsfriendsonyoursocialnetwork,WhydoyouusesocialnetworksYoucanchoosemorethanone,Incorporatingsocialmediaplatformsandemergingtechnologieshighligh,Socialmediaplatformsandemergingtechnologieshighlightedearliercou,Incorporatingsocialmediaandemergingtechnologiesasateachingtoolwi,EducationalLearningviathesocialmediaplatformswillbeeasyforme,Itwillbebeneficialformetobecomeskilfulatusingsocialmediaplatform,MycolleaguesthinkIshouldusesocialmediaandemergingtechnologiesfor,Myfamilyandfriendswillappreciatemyuseofsocialmediaandemergingtec,Myprivacywillbeinfringedifsocialmediaplatformsandemergingtechnol,Internetavailabilityandsignalstrengthwillbeaprobleminusingthesoc,Internetdatabundlesaffordabilitywillbeaprobleminusingthesocialme,Poweravailabilitywillbeaprobleminusingthesocialmediaandemergingt,Ihavethetechnicalskillstousesocialmediaplatformsandemergingtechn,Iwillbewillingtousesocialmediaplatformsandemergingtechnologiesfo,Iwillbewillingtodevotetherequiredtimeandenergyformylearningactiv,Areyoupresentlyinvolvedinelearningusinganysocialmediaplatformore,Whichelearningcoursesorplatformsareyoucurrentlyengagedin
Female,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No,Nil
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Snapchat,Facebook Live;Google Classroom,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Structural engineering design
Female,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;Snapchat,Web-based Elearning Platforms,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes, 
Male,15 - 25,Student - Full time,Facebook;WhatsApp,Facebook Live,Smatphone,above 5 years,Daily,7 - 12 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Female,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,Facebook Live,Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To get latest information/gist;For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Snapchat;Google Plus;Vk,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Web-based Elearning Platforms",Laptop;Tablet or Ipad,above 5 years,Daily,7 - 12 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Psychology on Edx
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp,Facebook Live,Smatphone,1-11 months,Weekly,Less than 1 hour,Less than 20,To find information;To make professional and business contacts,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,Zoom;Facebook Live;Microsoft's Team,Laptop;Desktop;Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,LBS Webinar
Female,15 - 25,Student - Full time,Twitter;WhatsApp;YouTube,Microsoft's Team,Smatphone,3-5 years,Daily,1 - 6 hours per day,51- 100,To find information,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes, 
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp,Facebook Live,Smatphone,3-5 years,Weekly,7 - 12 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Facebook;WhatsApp;Google Plus,Web-based Elearning Platforms,Smatphone,3-5 years,Daily,Always online,Almost everyone,For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Facebook;WhatsApp,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Education
Female,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Snapchat,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No,
Male,15 - 25,Student - Full time,Facebook;WhatsApp,Facebook Live,Smatphone,3-5 years,Daily,Less than 1 hour,Less than 20,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;YouTube;Snapchat,Google Classroom,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;To while away time,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
